id,name,gender,movie_id,title,order
85.0,Johnny Depp,2.0,12155,Alice in Wonderland,1
1813.0,Anne Hathaway,1.0,12155,Alice in Wonderland,2
6968.0,Hugh Jackman,2.0,36668,X-Men: The Last Stand,0
4587.0,Halle Berry,1.0,36668,X-Men: The Last Stand,1
1327.0,Ian McKellen,2.0,36668,X-Men: The Last Stand,2
7904.0,Billy Crystal,2.0,62211,Monsters University,0
1230.0,John Goodman,2.0,62211,Monsters University,1
884.0,Steve Buscemi,2.0,62211,Monsters University,2
10959.0,Shia LaBeouf,2.0,8373,Transformers: Revenge of the Fallen,0
19537.0,Megan Fox,1.0,8373,Transformers: Revenge of the Fallen,1
19536.0,Josh Duhamel,2.0,8373,Transformers: Revenge of the Fallen,2
13240.0,Mark Wahlberg,2.0,91314,Transformers: Age of Extinction,0
2283.0,Stanley Tucci,2.0,91314,Transformers: Age of Extinction,1
7090.0,Kelsey Grammer,2.0,91314,Transformers: Age of Extinction,2
17051.0,James Franco,2.0,68728,Oz: The Great and Powerful,0
18973.0,Mila Kunis,1.0,68728,Oz: The Great and Powerful,1
3293.0,Rachel Weisz,1.0,68728,Oz: The Great and Powerful,2
37625.0,Andrew Garfield,2.0,102382,The Amazing Spider-Man 2,0
54693.0,Emma Stone,1.0,102382,The Amazing Spider-Man 2,1
134.0,Jamie Foxx,2.0,102382,The Amazing Spider-Man 2,2
9828.0,Garrett Hedlund,2.0,20526,TRON: Legacy,0
1229.0,Jeff Bridges,2.0,20526,TRON: Legacy,1
59315.0,Olivia Wilde,1.0,20526,TRON: Legacy,2
887.0,Owen Wilson,2.0,49013,Cars 2,0
15897.0,Larry the Cable Guy,2.0,49013,Cars 2,1
3895.0,Michael Caine,2.0,49013,Cars 2,2
10859.0,Ryan Reynolds,2.0,44912,Green Lantern,0
59175.0,Blake Lively,1.0,44912,Green Lantern,1
133.0,Peter Sarsgaard,2.0,44912,Green Lantern,2
31.0,Tom Hanks,2.0,10193,Toy Story 3,0
12898.0,Tim Allen,2.0,10193,Toy Story 3,1
